GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quality,br.com.meli.bootcamp.wave2.quality.config.exceptions,ControllerExceptionHandler,0,133,0,0,0,31,0,8,0,8
quality,br.com.meli.bootcamp.wave2.quality,QualityApplication,5,3,0,0,2,1,1,1,1,1
quality,br.com.meli.bootcamp.wave2.quality.entities,District,6,15,0,0,2,6,2,3,2,3
quality,br.com.meli.bootcamp.wave2.quality.services,RealEstateService,0,135,0,2,0,35,0,13,0,12
quality,br.com.meli.bootcamp.wave2.quality.responses,BiggestRoomResponse,0,15,0,0,0,3,0,3,0,3
quality,br.com.meli.bootcamp.wave2.quality.responses,HouseSquaredMetersResponse,0,15,0,0,0,3,0,3,0,3
quality,br.com.meli.bootcamp.wave2.quality.responses,RealEstateValueResponse,0,15,0,0,0,3,0,3,0,3
quality,br.com.meli.bootcamp.wave2.quality.responses,RoomResponse,0,27,0,0,0,5,0,5,0,5
quality,br.com.meli.bootcamp.wave2.quality.responses,RoomsSquareMeterResponse,0,15,0,0,0,3,0,3,0,3
quality,br.com.meli.bootcamp.wave2.quality.config.exceptions.responses,RouteNotFoundError,15,0,0,0,4,0,2,0,2,0
quality,br.com.meli.bootcamp.wave2.quality.config.exceptions.responses,FieldValidationError,0,33,0,0,0,9,0,6,0,6
quality,br.com.meli.bootcamp.wave2.quality.config.exceptions.responses,ApiError,0,50,0,0,0,17,0,7,0,7
quality,br.com.meli.bootcamp.wave2.quality.config.exceptions.responses,ValidationError,0,18,0,0,0,6,0,3,0,3
quality,br.com.meli.bootcamp.wave2.quality.controllers,RealEstateController,0,23,0,0,0,5,0,5,0,5
quality,br.com.meli.bootcamp.wave2.quality.controllers,PingController,0,5,0,0,0,2,0,2,0,2
quality,br.com.meli.bootcamp.wave2.quality.exceptions,ApiException,14,22,0,0,5,8,1,4,1,4
quality,br.com.meli.bootcamp.wave2.quality.exceptions,DistrictNotFoundException,0,6,0,0,0,2,0,1,0,1
quality,br.com.meli.bootcamp.wave2.quality.config,DocumentationConfig,0,25,0,0,0,9,0,2,0,2
quality,br.com.meli.bootcamp.wave2.quality.config,ObjectMapperConfig,0,28,0,0,0,7,0,3,0,3
quality,br.com.meli.bootcamp.wave2.quality.config,TimeConfig,0,10,0,0,0,3,0,3,0,3
quality,br.com.meli.bootcamp.wave2.quality.forms,PropertyPayload.RoomPayload,0,40,0,0,0,7,0,9,0,9
quality,br.com.meli.bootcamp.wave2.quality.forms,PropertyPayload,0,40,0,0,0,7,0,9,0,9
quality,br.com.meli.bootcamp.wave2.quality.forms,PropertyPayload.PropertyPayloadBuilder,8,28,0,0,0,1,1,5,1,5
quality,br.com.meli.bootcamp.wave2.quality.forms,PropertyPayload.RoomPayload.RoomPayloadBuilder,8,28,0,0,0,1,1,5,1,5
